dma,state,total_blocks,unique_blocks_to_suppress,total_suppression_records,retention_rate_pct
"Reno, NV-CA",Nevada,29,20,51,31.03448275862069
"Gainesville, FL",Florida,25,20,51,20.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",Texas,32,20,51,37.5
"Albany, GA",Georgia,21,19,49,9.523809523809524
"Wausau-Rhinelander, WI",Wisconsin,28,19,42,32.142857142857146
"Columbus, GA-AL",Georgia,22,19,57,13.636363636363635
"Paducah-Cape Girardeau-Harrisburg, KY-MO-IL-TN",Missouri,25,19,49,24.0
"Evansville, IN-KY-IL",Kentucky,20,19,44,5.0
"Eugene, OR",Oregon,31,19,44,38.70967741935484
"Sioux City, IA-NE-SD",Iowa,21,19,50,9.523809523809524
"Tallahassee-Thomasville, FL-GA",Florida,27,19,66,29.629629629629626
"El Paso, TX-NM",Texas,33,18,38,45.45454545454545
"Philadelphia, PA-NJ-DE",Delaware,26,18,50,30.76923076923077
"Macon, GA-AL",Georgia,20,18,39,10.0
"Rochester-Mason City-Austin, MN-IA-IL",Minnesota,21,18,41,14.285714285714285
"Louisville, KY-IN",Indiana,28,17,37,39.285714285714285
"Abilene-Sweetwater, TX",Texas,20,17,38,15.0
"Portland, OR-WA",Washington,24,17,43,29.166666666666668
"Davenport-Rock Island-Moline, IA-IL",Illinois,22,17,39,22.727272727272727
"Lubbock, TX",Texas,24,17,49,29.166666666666668
"Marquette, MI-WI",Michigan,17,16,46,5.88235294117647
"Columbus-Tupelo-West Point-Houston, MS-AL",Mississippi,19,16,38,15.789473684210526
"Panama City, FL",Florida,20,16,43,20.0
"Chico-Redding, CA",California,31,16,37,48.38709677419355
"Binghamton, NY",New York,18,16,27,11.11111111111111
"Augusta-Aiken, GA-SC",South Carolina,19,16,36,15.789473684210526
"Jackson, TN",Tennessee,18,16,32,11.11111111111111
"Davenport-Rock Island-Moline, IA-IL",Iowa,20,15,45,25.0
"Minneapolis-St. Paul, MN-WI",Wisconsin,19,15,29,21.052631578947366
"Fargo, ND-MN",Minnesota,17,15,34,11.76470588235294
"Yakima-Pasco-Richland-Kennewick, WA-OR",Washington,21,15,43,28.57142857142857
"Shreveport, LA-TX-AR-OK",Texas,18,15,39,16.666666666666664
"Providence-New Bedford, RI-MA",Massachusetts,28,15,29,46.42857142857143
"Bluefield-Beckley-Oak Hill, WV-VA",West Virginia,21,15,35,28.57142857142857
"Washington, DC-VA-MD-WV-PA",District of Columbia,17,14,42,17.647058823529413
"Omaha, NE-IA-MO",Iowa,17,14,37,17.647058823529413
"Charlotte, NC-SC",South Carolina,19,14,32,26.31578947368421
"Charleston-Huntington, WV-KY-OH",Kentucky,15,14,39,6.666666666666667
"Paducah-Cape Girardeau-Harrisburg, KY-MO-IL-TN",Kentucky,14,14,28,0.0
"Paducah-Cape Girardeau-Harrisburg, KY-MO-IL-TN",Illinois,19,14,33,26.31578947368421
"Billings, MT-WY",Montana,17,14,30,17.647058823529413
"Anchorage, AK",Alaska,17,14,28,17.647058823529413
"Shreveport, LA-TX-AR-OK",Louisiana,23,13,33,43.47826086956522
"Duluth-Superior, MN-WI-MI",Minnesota,18,13,34,27.77777777777778
"Salisbury, MD-DE",Maryland,17,13,25,23.52941176470588
"Savannah, GA-SC",South Carolina,15,13,35,13.333333333333334
"Cincinnati, OH-KY-IN",Kentucky,16,12,33,25.0
"Memphis, TN-MS-AR",Arkansas,14,12,29,14.285714285714285
"Wichita Falls & Lawton, TX-OK",Oklahoma,12,12,44,0.0
"Medford-Klamath Falls, OR-CA",Oregon,16,12,28,25.0
"Lake Charles, LA",Louisiana,12,12,37,0.0
"Joplin-Pittsburg, MO-KS-OK",Missouri,14,12,36,14.285714285714285
"Joplin-Pittsburg, MO-KS-OK",Kansas,13,12,26,7.6923076923076925
"Fargo, ND-MN",North Dakota,13,12,25,7.6923076923076925
"Evansville, IN-KY-IL",Indiana,15,11,27,26.666666666666668
"Idaho Falls-Pocatello, ID-WY",Idaho,16,11,36,31.25
"Boise, ID-OR",Idaho,14,11,31,21.428571428571427
"Charlottesville, VA",Virginia,16,11,26,31.25
"Monterey-Salinas, CA",California,23,10,30,56.52173913043478
"Augusta-Aiken, GA-SC",Georgia,12,10,27,16.666666666666664
"Memphis, TN-MS-AR",Mississippi,14,10,24,28.57142857142857
"Tallahassee-Thomasville, FL-GA",Georgia,15,10,30,33.33333333333333
"Great Falls, MT",Montana,12,9,18,25.0
"Alexandria, LA",Louisiana,10,9,23,10.0
"Salisbury, MD-DE",Delaware,11,9,19,18.181818181818183
"Clarksburg-Weston, WV",West Virginia,14,9,25,35.714285714285715
"Shreveport, LA-TX-AR-OK",Arkansas,9,9,29,0.0
"Beaumont-Port Arthur, TX",Texas,15,9,30,40.0
"Utica, NY",New York,17,9,19,47.05882352941176
"Rochester-Mason City-Austin, MN-IA-IL",Iowa,9,9,23,0.0
"Quincy-Hannibal-Keokuk, IL-MO-IA",Missouri,9,9,23,0.0
"Monroe-El Dorado, LA-AR",Louisiana,13,9,25,30.76923076923077
"Casper-Riverton, WY",Wyoming,10,9,25,10.0
"Nashville, TN-KY",Kentucky,10,8,21,20.0
"Lafayette, LA",Louisiana,10,8,16,20.0
"Wichita Falls & Lawton, TX-OK",Texas,14,8,23,42.857142857142854
"Jonesboro, AR",Arkansas,11,8,20,27.27272727272727
"Mankato, MN",Minnesota,8,8,25,0.0
"St. Joseph, MO-KS",Missouri,8,8,25,0.0
"Springfield, MO-AR",Arkansas,8,8,22,0.0
"Sherman-Ada, OK-TX",Oklahoma,11,8,24,27.27272727272727
"Bowling Green, KY",Kentucky,9,8,23,11.11111111111111
"New Orleans, LA-MS",Mississippi,8,8,23,0.0
"Elmira, NY-PA",New York,15,8,17,46.666666666666664
"Albany-Schenectady-Troy, NY-MA-VT",Massachusetts,9,7,14,22.22222222222222
"Biloxi-Gulfport, MS",Mississippi,8,7,17,12.5
"Spokane, WA-ID-MT-OR",Idaho,9,7,15,22.22222222222222
"Bakersfield, CA",California,11,7,19,36.36363636363637
"Charleston-Huntington, WV-KY-OH",Ohio,13,7,16,46.15384615384615
"Santa Barbara-Santa Maria-San Luis Obispo, CA",California,24,7,20,70.83333333333334
"Sioux City, IA-NE-SD",Nebraska,7,7,21,0.0
"Columbus, GA-AL",Alabama,10,7,20,30.0
"Denver, CO-WY-NE",Nebraska,8,7,12,12.5
"Parkersburg, WV-OH",West Virginia,10,7,15,30.0
"Greenwood-Greenville, MS-AL",Mississippi,10,7,13,30.0
"Hattiesburg-Laurel, MS",Mississippi,8,7,30,12.5
"Lima, OH",Ohio,12,7,16,41.66666666666667
"Chattanooga, TN-GA-NC",Georgia,8,7,26,12.5
"Reno, NV-CA",California,8,7,21,12.5
"Twin Falls, ID",Idaho,8,7,17,12.5
"Norfolk-Portsmouth-Newport News, VA-NC",North Carolina,14,6,12,57.14285714285714
"Salt Lake City, UT-WY-NV-ID",Wyoming,6,6,10,0.0
"South Bend-Elkhart, IN-MI",Michigan,12,6,14,50.0
"Youngstown, OH-PA",Pennsylvania,10,6,13,40.0
"Sherman-Ada, OK-TX",Texas,6,6,15,0.0
"Rapid City, SD-WY-MT",South Dakota,9,6,15,33.33333333333333
"Quincy-Hannibal-Keokuk, IL-MO-IA",Illinois,9,6,14,33.33333333333333
"Duluth-Superior, MN-WI-MI",Wisconsin,11,6,17,45.45454545454545
"North Platte, NE",Nebraska,7,6,13,14.285714285714285
"Lafayette, IN",Indiana,10,6,20,40.0
"Burlington-Plattsburgh, VT-NY-NH",New Hampshire,7,6,9,14.285714285714285
"Pittsburgh, PA-WV-MD",West Virginia,6,6,20,0.0
"Missoula, MT",Montana,7,6,11,14.285714285714285
"Wheeling-Steubenville, WV-OH",West Virginia,11,6,11,45.45454545454545
"Harrisonburg, VA-WV",Virginia,11,6,15,45.45454545454545
"Watertown, NY",New York,13,6,12,53.84615384615385
"Monroe-El Dorado, LA-AR",Arkansas,6,5,8,16.666666666666664
"Sioux Falls, SD-MN-IA-NE",Iowa,5,5,12,0.0
"Butte-Bozeman, MT",Montana,7,5,22,28.57142857142857
"Yuma-El Centro, AZ-CA",Arizona,5,5,16,0.0
"Juneau, AK",Alaska,6,5,13,16.666666666666664
"Washington, DC-VA-MD-WV-PA",West Virginia,8,5,10,37.5
"Presque Isle, ME-NH",Maine,7,5,9,28.57142857142857
"Bluefield-Beckley-Oak Hill, WV-VA",Virginia,5,5,17,0.0
"Knoxville, TN-KY",Kentucky,4,4,8,0.0
"Meridian, MS-AL",Mississippi,8,4,19,50.0
"Amarillo, TX-NM-OK",New Mexico,4,4,15,0.0
