the_date,state,dma_name,winner,loser,current_wins,rolling_avg,rolling_stddev,z_score,pct_increase,is_first_appearance,is_outlier,outlier_reason
2025-03-02,Ohio,"Cincinnati, OH",Cincinnati Bell,Spectrum,13.0,4.666666666666667,3.5118845842842465,2.3728949893812468,178.57142857142853,False,True,Z-Score > 1.5
2025-03-02,Virginia,"Washington, DC",Verizon,Comcast,10.0,6.0,6.082762530298219,0.6575959492214292,66.66666666666666,False,True,Pct Increase > 30%
2025-03-02,New Jersey,"New York, NY",Altice,Comcast,14.0,8.666666666666666,8.144527815247077,0.6548364072560465,61.538461538461554,False,True,Pct Increase > 30%
2025-03-02,Georgia,"Jacksonville, FL",Comcast,Spectrum,11.0,7.333333333333333,9.451631252505218,0.38794008872222907,50.000000000000014,False,True,Pct Increase > 30%
2025-03-02,Ohio,"Cincinnati, OH",Spectrum,Cincinnati Bell,10.0,2.0,0.0,,400.0,False,True,Pct Increase > 30%
2025-03-02,Missouri,"St. Louis, MO",AT&T,Spectrum,12.0,1.0,0.0,,1100.0,False,True,Pct Increase > 30%
2025-03-03,New York,"New York, NY",Altice,Comcast,12.0,2.0,2.0,5.0,500.0,False,True,Z-Score > 1.5
2025-03-03,Illinois,"Chicago, IL",AT&T,Comcast,15.0,3.3333333333333335,3.0550504633038935,3.8188130791298662,349.99999999999994,False,True,Z-Score > 1.5
2025-03-03,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,19.0,3.0,4.358898943540674,3.670651741928988,533.3333333333333,False,True,Z-Score > 1.5
2025-03-03,New York,"New York, NY",Verizon,Comcast,16.0,6.0,3.4641016151377544,2.886751345948129,166.66666666666669,False,True,Z-Score > 1.5
2025-03-03,Maryland,"Washington, DC",Verizon,Comcast,12.0,5.0,2.6457513110645907,2.6457513110645903,140.0,False,True,Z-Score > 1.5
2025-03-03,New Jersey,"New York, NY",Altice,Comcast,10.0,5.333333333333333,6.110100926607786,0.7637626158259735,87.50000000000001,False,True,Pct Increase > 30%
2025-03-03,New Jersey,"New York, NY",Altice,Spectrum,10.0,7.333333333333333,8.082903768654761,0.329914439536929,36.36363636363637,False,True,Pct Increase > 30%
2025-03-04,Tennessee,"Memphis, TN",AT&T,Comcast,10.0,1.6666666666666667,0.5773502691896257,14.433756729740645,500.0,False,True,Z-Score > 1.5
2025-03-04,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,16.0,3.6666666666666665,1.1547005383792517,10.680979980008075,336.3636363636364,False,True,Z-Score > 1.5
2025-03-04,New York,"New York, NY",Altice,Spectrum,22.0,4.0,3.4641016151377544,5.196152422706632,450.0,False,True,Z-Score > 1.5
2025-03-04,New York,"New York, NY",Altice,Comcast,15.0,4.333333333333333,2.3094010767585034,4.618802153517006,246.15384615384622,False,True,Z-Score > 1.5
2025-03-04,Pennsylvania,"Philadelphia, PA",T-Mobile FWA,Comcast,10.0,2.0,2.0,4.0,400.0,False,True,Z-Score > 1.5
2025-03-04,Maryland,"Washington, DC",Verizon,Comcast,11.0,4.666666666666667,5.686240703077327,1.1137997253450433,135.7142857142857,False,True,Pct Increase > 30%
2025-03-04,New Jersey,"New York, NY",Altice,Verizon,12.0,7.333333333333333,6.110100926607787,0.7637626158259734,63.63636363636365,False,True,Pct Increase > 30%
2025-03-04,New York,"New York, NY",Verizon,Comcast,15.0,10.666666666666666,7.371114795831994,0.587880321139975,40.62500000000001,False,True,Pct Increase > 30%
2025-03-05,Maryland,"Washington, DC",Verizon,Comcast,11.0,1.3333333333333333,0.5773502691896257,16.74315780649915,725.0,False,True,Z-Score > 1.5
2025-03-05,Massachusetts,"Boston, MA",Comcast,Spectrum,12.0,2.3333333333333335,0.5773502691896258,16.743157806499145,414.2857142857142,False,True,Z-Score > 1.5
2025-03-05,Illinois,"Chicago, IL",Verizon FWA,Comcast,11.0,2.0,1.0,9.0,450.0,False,True,Z-Score > 1.5
2025-03-05,New York,"New York, NY",Altice,Comcast,12.0,1.3333333333333333,1.5275252316519468,6.982972487551756,800.0,False,True,Z-Score > 1.5
2025-03-05,Illinois,"Chicago, IL",Comcast,T-Mobile FWA,13.0,2.0,1.7320508075688772,6.3508529610858835,550.0,False,True,Z-Score > 1.5
2025-03-05,Ohio,"Cincinnati, OH",Cincinnati Bell,Spectrum,17.0,4.0,2.6457513110645907,4.913538149119954,325.0,False,True,Z-Score > 1.5
2025-03-05,Illinois,"Chicago, IL",T-Mobile FWA,Comcast,19.0,3.6666666666666665,3.785938897200183,4.050074169097869,418.18181818181824,False,True,Z-Score > 1.5
2025-03-05,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,10.0,3.0,2.0,3.5,233.33333333333334,False,True,Z-Score > 1.5
2025-03-05,New York,"New York, NY",Verizon,Spectrum,16.0,6.0,3.4641016151377544,2.886751345948129,166.66666666666669,False,True,Z-Score > 1.5
2025-03-05,Colorado,"Denver, CO",CenturyLink,Comcast,19.0,4.0,5.291502622129181,2.834733547569204,375.0,False,True,Z-Score > 1.5
2025-03-05,Illinois,"Chicago, IL",AT&T,Comcast,10.0,2.6666666666666665,3.0550504633038935,2.400396792595916,275.00000000000006,False,True,Z-Score > 1.5
2025-03-05,New York,"New York, NY",Verizon,Altice,24.0,10.333333333333334,6.429100507328636,2.125750974197372,132.25806451612902,False,True,Z-Score > 1.5
2025-03-05,New York,"New York, NY",Altice,Verizon,16.0,9.0,3.4641016151377544,2.0207259421636903,77.77777777777779,False,True,Z-Score > 1.5
2025-03-05,New Jersey,"New York, NY",Altice,Comcast,17.0,4.333333333333333,6.6583281184793925,1.902379462422684,292.3076923076923,False,True,Z-Score > 1.5
2025-03-05,New Jersey,"New York, NY",Altice,Spectrum,14.0,7.0,4.0,1.75,100.0,False,True,Z-Score > 1.5
2025-03-05,New York,"New York, NY",Spectrum,Comcast,12.0,3.0,5.196152422706632,1.7320508075688772,300.0,False,True,Z-Score > 1.5
2025-03-05,New Jersey,"New York, NY",Verizon,Altice,15.0,5.666666666666667,6.429100507328637,1.451732372622595,164.70588235294116,False,True,Pct Increase > 30%
2025-03-06,Ohio,"Cincinnati, OH",Cincinnati Bell,Spectrum,14.0,1.6666666666666667,1.1547005383792517,10.680979980008075,740.0,False,True,Z-Score > 1.5
2025-03-06,West Virginia,"Charleston-Huntington, WV",Frontier,Altice,10.0,1.3333333333333333,1.1547005383792517,7.505553499465133,650.0,False,True,Z-Score > 1.5
2025-03-06,Illinois,"Chicago, IL",Comcast,Spectrum,12.0,2.0,1.7320508075688772,5.773502691896258,500.0,False,True,Z-Score > 1.5
2025-03-06,New York,"New York, NY",Altice,Spectrum,12.0,3.6666666666666665,1.5275252316519468,5.455447255899809,227.27272727272728,False,True,Z-Score > 1.5
2025-03-06,Missouri,"St. Louis, MO",AT&T,Spectrum,10.0,2.0,2.0,4.0,400.0,False,True,Z-Score > 1.5
2025-03-06,New Jersey,"New York, NY",Verizon,Comcast,20.0,10.666666666666666,2.886751345948129,3.233161507461904,87.50000000000001,False,True,Z-Score > 1.5
2025-03-06,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,16.0,5.666666666666667,3.214550253664318,3.2145502536643185,182.35294117647055,False,True,Z-Score > 1.5
2025-03-06,Illinois,"Chicago, IL",T-Mobile FWA,Comcast,20.0,4.0,5.196152422706632,3.079201435678004,400.0,False,True,Z-Score > 1.5
2025-03-06,New York,"New York, NY",Altice,Comcast,12.0,4.0,2.6457513110645907,3.0237157840738176,200.0,False,True,Z-Score > 1.5
2025-03-06,New York,"New York, NY",Altice,Verizon,18.0,4.0,5.196152422706632,2.6943012562182536,350.0,False,True,Z-Score > 1.5
2025-03-06,New York,"New York, NY",Verizon,Spectrum,16.0,4.666666666666667,4.618802153517007,2.453738644055909,242.85714285714283,False,True,Z-Score > 1.5
2025-03-06,Illinois,"Chicago, IL",Comcast,AT&T,19.0,4.333333333333333,6.6583281184793925,2.2027551670157393,338.4615384615385,False,True,Z-Score > 1.5
2025-03-06,New York,"New York, NY",Verizon,Altice,19.0,7.0,6.244997998398398,1.9215378456610455,171.42857142857142,False,True,Z-Score > 1.5
2025-03-06,Illinois,"Chicago, IL",AT&T,Comcast,15.0,5.333333333333333,5.131601439446884,1.8837524271387298,181.25000000000003,False,True,Z-Score > 1.5
2025-03-06,Maryland,"Washington, DC",Verizon,Comcast,11.0,5.333333333333333,3.2145502536643185,1.762817881041723,106.25000000000003,False,True,Z-Score > 1.5
2025-03-06,New York,"New York, NY",Verizon,Comcast,14.0,6.333333333333333,4.618802153517007,1.659882023920174,121.05263157894738,False,True,Z-Score > 1.5
2025-03-06,New Jersey,"New York, NY",Altice,Comcast,13.0,6.333333333333333,5.507570547286102,1.210455065337605,105.26315789473686,False,True,Pct Increase > 30%
2025-03-06,New Jersey,"New York, NY",Altice,Spectrum,12.0,6.0,5.5677643628300215,1.0776318121606494,100.0,False,True,Pct Increase > 30%
2025-03-07,Maine,"Portland-Auburn, ME",Spectrum,Comcast,10.0,0.6666666666666666,0.5773502691896258,16.16580753730952,1400.0000000000002,False,True,Z-Score > 1.5
2025-03-07,New Jersey,"Philadelphia, PA",Comcast,Verizon,11.0,3.3333333333333335,2.0816659994661326,3.6829475375170038,229.99999999999997,False,True,Z-Score > 1.5
2025-03-07,Illinois,"Chicago, IL",T-Mobile FWA,Comcast,23.0,5.0,5.291502622129181,3.401680257083045,360.0,False,True,Z-Score > 1.5
2025-03-07,New York,"New York, NY",Verizon,Spectrum,12.0,3.0,2.6457513110645907,3.401680257083045,300.0,False,True,Z-Score > 1.5
2025-03-07,Illinois,"Chicago, IL",Verizon FWA,Comcast,12.0,2.6666666666666665,2.8867513459481287,3.233161507461905,350.00000000000006,False,True,Z-Score > 1.5
2025-03-07,Ohio,"Cincinnati, OH",Cincinnati Bell,Spectrum,14.0,3.6666666666666665,3.7859388972001824,2.729397809609434,281.8181818181818,False,True,Z-Score > 1.5
2025-03-07,Florida,"Jacksonville, FL",AT&T,Comcast,11.0,3.0,3.0,2.6666666666666665,266.66666666666663,False,True,Z-Score > 1.5
2025-03-07,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,10.0,3.0,2.6457513110645907,2.6457513110645903,233.33333333333334,False,True,Z-Score > 1.5
2025-03-07,New York,"New York, NY",Verizon,Altice,17.0,7.666666666666667,5.033222956847167,1.8543452998910608,121.7391304347826,False,True,Z-Score > 1.5
2025-03-07,Illinois,"Chicago, IL",Comcast,AT&T,15.0,5.0,6.082762530298219,1.643989873053573,200.0,False,True,Z-Score > 1.5
2025-03-07,Illinois,"Chicago, IL",AT&T,Comcast,13.0,5.666666666666667,4.725815626252609,1.551760354888916,129.41176470588235,False,True,Z-Score > 1.5
2025-03-07,New York,"New York, NY",Altice,Verizon,11.0,5.0,4.58257569495584,1.3093073414159544,120.0,False,True,Pct Increase > 30%
2025-03-07,New York,"New York, NY",Altice,Comcast,15.0,7.666666666666667,6.110100926607786,1.200198396297958,95.65217391304347,False,True,Pct Increase > 30%
2025-03-07,Illinois,"Chicago, IL",Comcast,Spectrum,14.0,5.333333333333333,7.571877794400365,1.144586178223311,162.50000000000003,False,True,Pct Increase > 30%
2025-03-07,New Jersey,"New York, NY",Verizon,Comcast,11.0,8.0,3.605551275463989,0.8320502943378437,37.5,False,True,Pct Increase > 30%
2025-03-07,New Jersey,"New York, NY",Altice,Comcast,12.0,6.0,7.810249675906654,0.7682212795973759,100.0,False,True,Pct Increase > 30%
2025-03-08,South Carolina,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Spectrum,T-Mobile FWA,10.0,1.0,1.0,9.0,900.0,False,True,Z-Score > 1.5
2025-03-08,New York,"New York, NY",Altice,Spectrum,36.0,3.0,4.358898943540674,7.570719217728538,1100.0,False,True,Z-Score > 1.5
2025-03-08,New York,"New York, NY",Verizon,Spectrum,28.0,9.666666666666666,2.5166114784235836,7.284927963857741,189.65517241379314,False,True,Z-Score > 1.5
2025-03-08,New York,"New York, NY",Altice,Verizon,32.0,5.0,5.196152422706632,5.196152422706632,540.0,False,True,Z-Score > 1.5
2025-03-08,Massachusetts,"Boston, MA",T-Mobile FWA,Comcast,18.0,5.0,2.6457513110645907,4.913538149119954,260.0,False,True,Z-Score > 1.5
2025-03-08,Ohio,"Cincinnati, OH",Spectrum,Cincinnati Bell,12.0,2.3333333333333335,2.0816659994661326,4.643716460347527,414.2857142857142,False,True,Z-Score > 1.5
2025-03-08,New Jersey,"New York, NY",Altice,Verizon,11.0,3.0,1.7320508075688772,4.618802153517007,266.66666666666663,False,True,Z-Score > 1.5
2025-03-08,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,26.0,9.666666666666666,3.7859388972001824,4.314209440995557,168.96551724137933,False,True,Z-Score > 1.5
2025-03-08,Massachusetts,"Boston, MA",Comcast,Spectrum,19.0,8.0,2.6457513110645907,4.157609203101499,137.5,False,True,Z-Score > 1.5
2025-03-08,North Carolina,"Charlotte, NC",Spectrum,AT&T,21.0,2.6666666666666665,4.618802153517007,3.9692831006786764,687.5,False,True,Z-Score > 1.5
2025-03-08,Florida,"Jacksonville, FL",Comcast,Spectrum,14.0,3.3333333333333335,2.8867513459481287,3.6950417228136048,320.0,False,True,Z-Score > 1.5
2025-03-08,Kentucky,"Louisville, KY",T-Mobile FWA,Spectrum,12.0,2.6666666666666665,2.8867513459481287,3.233161507461905,350.00000000000006,False,True,Z-Score > 1.5
2025-03-08,Ohio,"Cincinnati, OH",Cincinnati Bell,Spectrum,28.0,8.0,6.244997998398398,3.2025630761017427,250.0,False,True,Z-Score > 1.5
2025-03-08,Illinois,"Chicago, IL",Comcast,Spectrum,25.0,5.0,7.0,2.857142857142857,400.0,False,True,Z-Score > 1.5
2025-03-08,South Carolina,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Spectrum,AT&T,11.0,4.333333333333333,2.5166114784235836,2.6490647141300876,153.84615384615387,False,True,Z-Score > 1.5
2025-03-08,Minnesota,"Minneapolis-St. Paul, MN",Comcast,CenturyLink,10.0,2.6666666666666665,3.0550504633038935,2.400396792595916,275.00000000000006,False,True,Z-Score > 1.5
2025-03-08,Massachusetts,"Boston, MA",Comcast,T-Mobile FWA,10.0,2.3333333333333335,3.2145502536643185,2.384988897879978,328.5714285714285,False,True,Z-Score > 1.5
2025-03-08,New York,"New York, NY",Verizon,Altice,37.0,14.0,9.848857801796104,2.335296179807324,164.28571428571428,False,True,Z-Score > 1.5
2025-03-08,New York,"New York, NY",Spectrum,Altice,11.0,3.3333333333333335,3.511884584284246,2.1830633902307475,229.99999999999997,False,True,Z-Score > 1.5
2025-03-08,New York,"New York, NY",Spectrum,Verizon,14.0,4.333333333333333,4.509249752822894,2.1437416857682616,223.07692307692312,False,True,Z-Score > 1.5
2025-03-08,Pennsylvania,"Philadelphia, PA",Comcast,Spectrum,13.0,4.333333333333333,4.163331998932265,2.081665999466133,200.00000000000006,False,True,Z-Score > 1.5
2025-03-08,Missouri,"St. Louis, MO",T-Mobile FWA,Spectrum,10.0,3.3333333333333335,3.2145502536643185,2.0739033894608503,199.99999999999997,False,True,Z-Score > 1.5
2025-03-08,Missouri,"St. Louis, MO",AT&T,Spectrum,16.0,4.666666666666667,5.507570547286102,2.057773611073928,242.85714285714283,False,True,Z-Score > 1.5
2025-03-08,New York,"New York, NY",Altice,Comcast,33.0,14.0,9.539392014169456,1.9917411897716448,135.71428571428572,False,True,Z-Score > 1.5
2025-03-08,Virginia,"Washington, DC",Verizon,Comcast,29.0,12.0,8.888194417315589,1.9126494315742406,141.66666666666669,False,True,Z-Score > 1.5
2025-03-08,West Virginia,"Charleston-Huntington, WV",Frontier,Altice,11.0,3.3333333333333335,4.041451884327381,1.8970080273373415,229.99999999999997,False,True,Z-Score > 1.5
2025-03-08,Illinois,"Chicago, IL",Verizon FWA,Comcast,21.0,5.333333333333333,8.386497083606084,1.8680822887653359,293.75000000000006,False,True,Z-Score > 1.5
